rank,term,frequency,category,length
413,Dual Lumen Catheter,9,영문복합의학용어,19
414,광범위정맥,9,상세해부구조,5
415,광범위정맥류발거술,9,구체적수술시술,9
416,악안면교정수술,9,구체적수술시술,7
417,생활치료센터,9,기타전문용어,6
418,병상대기,9,의료기기치료재료,4
419,회전근개파열복원술,9,구체적수술시술,9
420,공단자격관리시스템,9,의료기기치료재료,9
421,주진료과,9,기타전문용어,4
422,진료지원과,9,기타전문용어,5
423,간호인력과,9,기타전문용어,5
424,CT 인정여부,9,기타전문용어,7
425,보험급여기,9,의료기기치료재료,5
426,의료보호기,9,의료기기치료재료,5
427,호르몬검사,9,전문검사진단,5
428,림프절절제술,9,구체적수술시술,6
429,시행시기,9,의료기기치료재료,4
430,잔여갑상선,9,상세해부구조,5
431,잔여갑상선제거술,9,구체적수술시술,8
432,경피적척추성형술,9,구체적수술시술,8
433,경피적고주파열치료술,9,구체적수술시술,10
434,Dupilumab,8,영문약물명,9
435,Tralokinumab,8,영문약물명,12
436,Bath Ankylosing Spondilitis Disease Activity Index,8,영문복합의학용어,50
437,시상면과,8,기타전문용어,4
438,이식편대숙주질환,8,복합질병명,8
439,다중수면잠복기검사,8,전문검사진단,9
440,다중수면잠복기,8,의료기기치료재료,7
441,대한내과,8,기타전문용어,4
442,심실보조장치,8,의료기기치료재료,6
443,평형기능검사,8,전문검사진단,6
444,급성관상동맥,8,상세해부구조,6
445,관상동맥중재술,8,구체적수술시술,7
446,급성관상동맥증후군,8,복합질병명,9
447,Amlodipine,8,영문약물명,10
448,순환기내과,8,기타전문용어,5
449,정량광형광기,8,의료기기치료재료,6
450,추간판조영술,8,구체적수술시술,6
451,추간판조영,8,전문검사진단,5
452,척추관협착증,8,복합질병명,6
453,간기능검사,8,전문검사진단,5
454,심실조기,8,의료기기치료재료,4
455,Ritonavir,8,기타전문용어,9
456,Nephrostomy Balloon Catheter,8,영문복합의학용어,28
457,직장경검사,8,전문검사진단,5
458,파악하기,8,의료기기치료재료,4
459,관상동맥스텐트삽입술,8,구체적수술시술,10
460,혈액배양검사,8,전문검사진단,6
461,동공부등검사,8,전문검사진단,6
462,캡슐내시경검사,8,전문검사진단,7
463,에이즈검사,8,전문검사진단,5
464,태반조기,8,의료기기치료재료,4
465,혈액이산화탄소분압,8,측정값지표,9
466,관절와순수술과,8,상세해부구조,7
467,심전도감시기,8,의료기기치료재료,6
468,안구광학단층촬영과,8,기타전문용어,9
469,전동식세절기,8,의료기기치료재료,6
470,호흡기능검사,8,전문검사진단,6
471,심장질환과,8,기타전문용어,5
472,산소공급장치,8,의료기기치료재료,6
473,부고환정자흡인술,8,구체적수술시술,8
474,잠간고정술과,8,기타전문용어,6
475,인공임신중절수술,8,구체적수술시술,8
476,지속적비디오뇌파검사,8,전문검사진단,10
477,관상동맥조영술,8,구체적수술시술,7
478,연속혈당측정검사,8,전문검사진단,8
479,치조골성형수술,8,구체적수술시술,7
480,수정체전낭원형절개술,8,구체적수술시술,10
481,미주신경자극기설치술,8,구체적수술시술,10
482,상행대동맥,8,상세해부구조,5
483,Post Adjunctive Balloon Catheter,8,영문복합의학용어,32
484,맥전도검사,8,전문검사진단,5
485,체내표시기,8,의료기기치료재료,5
486,후방추체유합술,8,구체적수술시술,7
487,대뇌운동피질자극기,8,의료기기치료재료,9
488,전기자극기,8,의료기기치료재료,5
489,흡인세포병리검사,8,전문검사진단,8
490,자궁경관봉축술,8,구체적수술시술,7
491,Aripiprazole,8,영문약물명,12
492,전자궁적출술,8,구체적수술시술,6
493,하비갑개점막,8,상세해부구조,6
494,Clozapine,8,기타전문용어,9
495,안전주사기,8,의료기기치료재료,5
496,전용헬기,8,의료기기치료재료,4
497,산출결과,8,기타전문용어,4
498,조직전자현미경검사,8,전문검사진단,9
499,혼합배양검사,8,전문검사진단,6
500,조기양막파수검사,8,전문검사진단,8
501,최소억제농도,8,측정값지표,6
502,항사구체기,8,의료기기치료재료,5
503,항사구체기저막,8,상세해부구조,7
504,제트환기,8,의료기기치료재료,4
505,제트환기요법,8,구체적수술시술,6
506,희귀난치질환,8,복합질병명,6
507,폐경기증후군,8,복합질병명,6
508,Intraarticular Injection,7,영문복합의학용어,24
509,중추신경계질환,7,복합질병명,7
510,Disease Activity Index,7,영문복합의학용어,22
511,베노훼럼,7,기타전문용어,4
512,Cyclophosphamide,7,기타전문용어,16
513,자가면역질환,7,복합질병명,6
514,호기말이산화탄소분압,7,측정값지표,10
515,좌심실기,7,의료기기치료재료,4
516,말초동맥성질환,7,복합질병명,7
517,심혈관질환,7,복합질병명,5
518,Disease Control,7,영문복합의학용어,15
519,내시경절제술,7,구체적수술시술,6
520,Rare Diseases,7,영문복합의학용어,13
521,제왕절개만출술,7,구체적수술시술,7
522,쇼그렌증후군,7,복합질병명,6
523,중심망막,7,상세해부구조,4
524,Ranibizumab,7,영문약물명,11
525,고정하기,7,의료기기치료재료,4
526,심장판막,7,상세해부구조,4
527,인공판막치환술,7,구체적수술시술,7
528,MRI 영상을,7,기타전문용어,7
529,비자극검사,7,전문검사진단,5
530,부분치수절단술,7,구체적수술시술,7
531,재활의료기,7,의료기기치료재료,5
532,핵의학영상진단,7,전문검사진단,7
533,복부대동맥,7,상세해부구조,5
534,신의료기술평가,7,전문검사진단,7
535,이하선종양적출술,7,구체적수술시술,8
536,부갑상선기,7,상세해부구조,5
537,진료심사평가,7,전문검사진단,6
538,방사선특수영상진단,7,전문검사진단,9
539,진단하기,7,의료기기치료재료,4
540,심전도기록기,7,의료기기치료재료,6
541,발싸이트,7,기타전문용어,4
542,Valganciclovir,7,기타전문용어,14
543,프라카논,7,기타전문용어,4
544,간동맥조영,7,전문검사진단,5
545,감소시키기,7,의료기기치료재료,5
546,원거리피판술,7,구체적수술시술,6
547,Steroid Intra Discal Therapy,7,영문복합의학용어,28
548,활액막절제술,7,구체적수술시술,6
549,유리체제거술,7,구체적수술시술,6
550,요도하열성형술,7,구체적수술시술,7
551,혈관조영촬영,7,전문검사진단,6
552,전층피부이식술,7,구체적수술시술,7
553,자가표피이식술,7,구체적수술시술,7
554,안구내삽관레이저광응고술,7,구체적수술시술,12
555,망막열공냉동응고술과,7,상세해부구조,10
556,시간혈압측정검사,7,전문검사진단,8
557,CT 촬영,7,전문검사진단,5
558,테리본피하,7,기타전문용어,5
559,대한신경과,7,상세해부구조,5
560,사마귀제거술,7,구체적수술시술,6
561,홀터기록검사,7,전문검사진단,6
562,온냉경락요법,7,구체적수술시술,6
563,전자기유도기,7,의료기기치료재료,6
564,눈물막파괴시간검사,7,전문검사진단,9
565,운동점차단술,7,구체적수술시술,6
